place_name,latitude,longitude
"Helbra, Deutschland",51.535554,11.466453
Malta,35.7863054,14.1836393
"Amphoe Hua Hin, Prachuap Khiri Khan Province",12.3450248,99.4011172
"Virginia, USA",36.540739,-83.67529
"Glenview, IL",42.054687,-87.894012
"Queens, NY",40.541722,-73.962582
"Naples, FL",26.093538,-81.817216
"Ohio, USA",38.403186,-84.8203089
"Gatesville, TX",31.385175,-97.789509
"North Bay, Ontario",46.222736,-79.505086
"Coralville, IA",41.666511,-91.642268
"De Haan, Belgium",51.2196571,2.986774
New York Stock Exchange,40.706941438950565,-74.01104092597961
"Igbologun, Nigeria",6.4157456,3.3222946
"Matsudo-shi, Chiba",35.746405,139.879781
"Burlington, Ontario",43.286245,-79.959313
"Galesburg, IL",40.890505,-90.4412204
"Brussels, Belgium",50.7963282,4.3139889
Grenada,11.98715,-61.80292
"Leeds, England",53.7363694,-1.706057
"İstanbul, Türkiye",40.8027337,28.6321043
"Sheffield, England",53.309898,-1.573648
United States,13.182335,-179.231086
"Lake Worth, FL",26.587884,-80.1224837
"Winnipeg, Manitoba",49.713679,-97.350366
"Northern Ireland, United Kingdom",54.0227179827604,-8.19417899950185
"Manhattan, NY",40.683935,-74.026675
"İstanbul, Türkiye",40.8027337,28.6321043
"Pennsylvania, USA",39.719801,-80.519851
"Fenton, MO",38.461929,-90.49599
"Brussels, Belgium",50.7963282,4.3139889
"Providencia, Chile",-33.4499729,-70.6376924
"Petaling, Selangor",2.9796541,101.5767746
"Puebla, México",18.83765,-98.289206
"South East, England",50.5746064789388,-1.95729593780907
"Kampala, Uganda",0.1648531,32.4166234
"Touros, Brasil",-5.465159,-35.8390166
"West Haven, CT",41.233074,-72.994697
