place_name,latitude,longitude
"West Region, Singapore",1.16638900001529,103.605441448115
"Capão da Canoa, Brasil",-29.7730341,-50.0545401
"Sumbang, Indonesia",-7.404963,109.216745
"Pregny-Chambésy, Suisse",46.221739,6.12847
"Mora, España",39.595116,-3.8371638
"Edinburgh, Scotland",55.894729,-3.3285119
"Whaley Bridge, England",53.3136,-2.002002
"Aosta, Aosta Valley",45.7267481,7.238614
"Halifax, Nova Scotia",43.366298,-64.237659
"Brisbane, Queensland",-27.767440994,152.668522848
"Ohio, USA",38.403186,-84.8203089
"Amsterdam, The Netherlands",52.2782266,4.7288999
"Mississauga, Ontario",43.373074,-79.810142
"Ohio, USA",38.403186,-84.8203089
Begusarai,25.42506980895996,86.13394165039062
"Belo Horizonte, Brazil",-20.059816,-44.062789
"Ohio, USA",38.403186,-84.8203089
"Ohio, USA",38.403186,-84.8203089
"Ohio, USA",38.403186,-84.8203089
"Carapicuíba, Brasil",-23.584667,-46.876424
"Dubai, United Arab Emirates",24.6182526,54.8939725
"Benito Juárez, Quintana Roo",20.734206,-87.322724
"Ohio, USA",38.403186,-84.8203089
"Monachil, Spain",37.0555829,-3.5706976
"Union City, CA",37.56138,-122.096971
"Serendah, Selangor",3.3220592,101.4692072
"Diadema, Brasil",-23.7397611,-46.6521812
"Melbourne, Victoria",-38.433859306,144.593741856
"Methwold, England",52.519252,0.539171
