place_name,latitude,longitude
"Rochester, NH",43.239714,-71.014742
"Strasbourg, France",48.4924213,7.6881601
"Rochester, NH",43.239714,-71.014742
"Kawagoe-shi, Saitama",35.837625,139.377327
"Florianópolis, Brazil",-27.8389356,-48.6103127
"Sao Paulo, Brazil",-24.008814,-46.826039
"Nagpur, India",20.7552323,78.8612223
"Volta Redonda, Brasil",-22.6420932,-44.159239
"Washington, DC",38.801826,-77.119401
"Johannesburg, South Africa",-26.5126489,27.7518557
"Oporto, Portugal",41.1383457,-8.6912275
"Tampa, FL",27.821353,-82.620093
"Johannesburg, South Africa",-26.5126489,27.7518557
"Sao Paulo, Brazil",-24.008814,-46.826039
"Rezé, France",47.1518741,-1.5957649
"Sao Paulo, Brazil",-24.008814,-46.826039
"Sao Paulo, Brazil",-24.008814,-46.826039
"Durban, South Africa",-30.055938,30.8789097
"Leganés, Spain",40.2926631,-3.8181556
"Ghent, Belgium",50.9795312,3.5797639
"Mérida, Venezuela",8.5660877,-71.1957474
"Louisiana, USA",28.855128,-94.043628
"Naples, Campania",40.7920697,14.1332005
"Baltimore, MD",39.197211,-76.7115205
"Shanghai, People's Republic of China",30.69094,120.858322
