place_name,latitude,longitude
"Florida, USA",24.396308,-87.634643
"Trabzon, Türkiye",40.9257545,39.6131862
"Belo Horizonte, Brazil",-20.059816,-44.062789
"Nairobi, Kenya",-1.3890532,36.6645733
"São Bernardo do Campo, Brasil",-23.966949,-46.650238
"Andorra, España",40.9433891,-0.5267918
"Sao Paulo, Brazil",-24.008814,-46.826039
"Gunung Sindur, Indonesia",-6.404858,106.655517
"Rome, Lazio",41.6558738,12.2344266
"South Dublin, Ireland",53.178753,-6.5468143
"Tampa, FL",27.821353,-82.620093
"Sydney, New South Wales",-34.1183470085,150.520928608
"Dublin City, Ireland",53.2987449,-6.387438
"Helsinki, Finland",60.021032,24.78281
"Floridablanca, Colombia",7.00661899754931,-73.1587639972776
"Sao Paulo, Brazil",-24.008814,-46.826039
"Panama City Beach, FL",30.1650609,-85.95802
"Melbourne, Victoria",-38.433859306,144.593741856
"Kansas, USA",36.9931101,-102.051769
"South West, England",49.8824720005481,-6.36850399906372
"Dracy-le-Fort, France",46.783633,4.7456543
"Yorkshire, VA",38.770723,-77.473146
"Belém, Brazil",-1.526453,-48.623684
"Old Orchard Beach, ME",43.496003,-70.425305
"Portland, OR",45.421863,-122.7900653
