source,tweet_count
"<a href=\"https://saas.mashup-web.com\" rel=\"nofollow\">Mashup Web</a>",3
"<a href=\"https://www.later.com\" rel=\"nofollow\">LaterMedia</a>",3
"<a href=\"https://climatechangefacts.com\" rel=\"nofollow\">Climate Change Fact Check</a>",3
"<a href=\"http://www.littlemsmobile.com\" rel=\"nofollow\">CareMo News</a>",3
"<a href=\"http://www.tobeannounced.com\" rel=\"nofollow\">News Users</a>",3
"<a href=\"https://globalsocialpost.com\" rel=\"nofollow\">Global Social Post</a>",3
"<a href=\"https://paper.li\" rel=\"nofollow\">Paper.li</a>",3
"<a href=\"https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels\" rel=\"nofollow\">CompChemBio Bot</a>",3
"<a href=\"http://www.socialbakers.com/\" rel=\"nofollow\">Emplifi</a>",3
"<a href=\"https://www.canva.com\" rel=\"nofollow\">Canva</a>",3
"<a href=\"https://pandemicpatients.org\" rel=\"nofollow\">LongCOVIDResearch</a>",3
"<a href=\"https://gambiste.com\" rel=\"nofollow\">Gambiste</a>",3
"<a href=\"https://svn.app\" rel=\"nofollow\">ttte</a>",3
"<a href=\"https://vettedpatriots.com/\" rel=\"nofollow\">#VettedPatriots</a>",2
"<a href=\"https://m1.t7w.co\" rel=\"nofollow\">T7 App</a>",2
"<a href=\"https://example.com\" rel=\"nofollow\">find_nakata</a>",2
"<a href=\"http://www.misterpopocelestial.net\" rel=\"nofollow\">DCN HOY</a>",2
"<a href=\"https://www.sprinklr.com/\" rel=\"nofollow\">Powered by Sprinklr</a>",2
"<a href=\"https://www.fs-poster.com\" rel=\"nofollow\">FS Poster 3</a>",2
"<a href=\"https://mobilemarketer.pro\" rel=\"nofollow\">VPNewFeatures</a>",2
"<a href=\"http://www.misterpopocelestial.net\" rel=\"nofollow\">Agencia NDS</a>",2
"<a href=\"https://freddy.linuxtribe.fr/radio-londres/\" rel=\"nofollow\">RadioLondres</a>",2
"<a href=\"http://www.yotpo.com\" rel=\"nofollow\">Yotpo</a>",2
"<a href=\"https://cloudcampaign.io/\" rel=\"nofollow\">Cloud Campaign</a>",2
"<a href=\"https://smapsolutions.com/\" rel=\"nofollow\">SMAP Lite</a>",2
"<a href=\"https://tweetoshi.com\" rel=\"nofollow\">Tweetoshi</a>",2
"<a href=\"https://itunes.apple.com/jp/app/hel2um/id1146280429?mt=8\" rel=\"nofollow\">Hel2um on iOS</a>",2
"<a href=\"https://dataemia.com\" rel=\"nofollow\">Dataemia</a>",2
"<a href=\"http://www.informazione.it\" rel=\"nofollow\">Tweet Informazione</a>",2
"<a href=\"https://www.titrespresse.com\" rel=\"nofollow\">Titrespresse.com to Twitter</a>",2
"<a href=\"https://cambiee.com.br\" rel=\"nofollow\">Bot Bosta</a>",2
"<a href=\"https://www.socialoomph.com\" rel=\"nofollow\">SocialOomph</a>",2
"<a href=\"https://oxfordblue.azurewebsites.net\" rel=\"nofollow\">OxfordBlue-Twitter</a>",2
"<a href=\"https://www.constantcontact.com/\" rel=\"nofollow\">Constant Contact - Social Posts</a>",2
"<a href=\"https://prod1.sprinklr.com\" rel=\"nofollow\">Sprinklr Publishing</a>",2
"<a href=\"https://www.semrush.com/\" rel=\"nofollow\">Semrush Social Media Tool</a>",2
"<a href=\"https://covid19travel.com\" rel=\"nofollow\">Covid19Travel Twitter bot app</a>",2
"<a href=\"https://hocalwire.com\" rel=\"nofollow\">Hocalwire Social</a>",2
"<a href=\"https://www.radioking.com\" rel=\"nofollow\">Radio King LiveTweet</a>",2
"<a href=\"https://smarterqueue.com\" rel=\"nofollow\">SmarterQueue</a>",2
"<a href=\"https://newstool.cope.es\" rel=\"nofollow\">GRUPO COPE</a>",2
"<a href=\"https://www.socialgest.net\" rel=\"nofollow\">SocialGest</a>",2
"<a href=\"https://twitter.bot\" rel=\"nofollow\">jayeshthakur</a>",2
"<a href=\"https://www.facebook.com/socialmlabs/\" rel=\"nofollow\">mLabs - Gestão de Redes Sociais</a>",2
"<a href=\"https://upstract.com\" rel=\"nofollow\">Upstract News Broadcast</a>",2
"<a href=\"http://www.detik.com/\" rel=\"nofollow\">detikcommunity</a>",2
"<a href=\"http://www.twitpane.com\" rel=\"nofollow\">TwitPane for KindleFire</a>",2
"<a href=\"https://labml.ai\" rel=\"nofollow\">Daily AI Papers</a>",2
"<a href=\"https://www.corvusengineering.com\" rel=\"nofollow\">CorvusTwitterApp</a>",2
"<a href=\"https://twblue.es\" rel=\"nofollow\">TW Blue</a>",2
"<a href=\"http://www.peacefmonline.com\" rel=\"nofollow\">Peace FM Online</a>",2
"<a href=\"http://www.everyonesocial.com\" rel=\"nofollow\">EveryoneSocial</a>",2
"<a href=\"https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels\" rel=\"nofollow\">BinfoTrends</a>",2
"<a href=\"https://nectar.social\" rel=\"nofollow\">BHIVE Nectar</a>",2
"<a href=\"http://www.republicworld.com\" rel=\"nofollow\">Republicworld</a>",2
"<a href=\"https://app.socialpilot.co/\" rel=\"nofollow\">SocialPilot.co</a>",2
"<a href=\"https://www.thepaperlink.com\" rel=\"nofollow\">the paper link</a>",2
"<a href=\"https://radio.co\" rel=\"nofollow\">Radio.co now playing</a>",2
"<a href=\"https://twitter.com\" rel=\"nofollow\">TruthNews2day</a>",2
"<a href=\"https://www.animenewsnetwork.com/\" rel=\"nofollow\">Anime News Network news feed</a>",2
"<a href=\"https://twitter.com/glad_help\" rel=\"nofollow\">@glad_help</a>",2
"<a href=\"https://sepbit.com\" rel=\"nofollow\">Sepbit</a>",2
"<a href=\"https://patriotsassemble.com\" rel=\"nofollow\">PatriotsAssemble</a>",1
"<a href=\"http://www.MisfitPatriots.com\" rel=\"nofollow\">MisfitPatriots1.com</a>",1
"<a href=\"https://vistasocial.com\" rel=\"nofollow\">Vista Social</a>",1
"<a href=\"https://saas.mashup-web.com/\" rel=\"nofollow\">Mashup-Web 2</a>",1
"<a href=\"http://www.atlantico.fr/\" rel=\"nofollow\">Atlantico</a>",1
"<a href=\"https://onvoitout.com\" rel=\"nofollow\">On voit tout</a>",1
"<a href=\"http://www.beccaria-portal.org\" rel=\"nofollow\">Beccaria-Portal Daily Press</a>",1
"<a href=\"http://wildmoka.com\" rel=\"nofollow\">Wildmoka</a>",1
"<a href=\"https://twitter.com/oregakitaworld\" rel=\"nofollow\">Oreno Intelligence Agency</a>",1
"<a href=\"http://wallst.express\" rel=\"nofollow\">Wall St. Express</a>",1
"<a href=\"https://pastexpiry.blogspot.com\" rel=\"nofollow\">PEtwitpix</a>",1
"<a href=\"http://www.onmedic.com\" rel=\"nofollow\">bot_cardiogalenico</a>",1
"<a href=\"http://porelojodelacerradura.com.do\" rel=\"nofollow\">Autopublicaciones_porelojo</a>",1
"<a href=\"https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels\" rel=\"nofollow\">CyberDFIR</a>",1
"<a href=\"http://www.mailchimp.com\" rel=\"nofollow\">Mailchimp</a>",1
"<a href=\"https://prod2.sprinklr.com\" rel=\"nofollow\">Sprinklr Publisher</a>",1
"<a href=\"https://coschedule.com\" rel=\"nofollow\">CoSchedule</a>",1
"<a href=\"https://www.fs-poster.com/\" rel=\"nofollow\">FS_Poster_App</a>",1
"<a href=\"https://torch1.com\" rel=\"nofollow\">Torch1</a>",1
"<a href=\"http://xeva.com.mx/\" rel=\"nofollow\">xeva</a>",1
"<a href=\"https://misfitpatriots.com\" rel=\"nofollow\">Deesnutz</a>",1
"<a href=\"http://nomado.ryuhagiwara.com/\" rel=\"nofollow\">世界モバイル評論家協会</a>",1
"<a href=\"http://blog.seesaa.jp/\" rel=\"nofollow\">SeesaaBlog</a>",1
"<a href=\"https://www.tweetomizer.com\" rel=\"nofollow\">tweetomizer.com</a>",1
"<a href=\"https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels\" rel=\"nofollow\">corona.nrw</a>",1
"<a href=\"http://idw-online.de/en/\" rel=\"nofollow\">idw_feed_en</a>",1
"<a href=\"https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels\" rel=\"nofollow\">Twitter for Iphoneeeeeeeeeeeeeee</a>",1
"<a href=\"https://www.advisorstream.com\" rel=\"nofollow\">AdvisorStream v2</a>",1
"<a href=\"https://example.org\" rel=\"nofollow\">Linda Jones</a>",1
"<a href=\"https://twitter.com/rejectpetitions\" rel=\"nofollow\">Rejected Petitions</a>",1
"<a href=\"http://dynamicsignal.com/\" rel=\"nofollow\">Dynamic Signal</a>",1
"<a href=\"http://www.pionerprodukt.by\" rel=\"nofollow\">PionerProdukt</a>",1
"<a href=\"https://missinglettr.com\" rel=\"nofollow\">Missinglettr</a>",1
"<a href=\"http://www.jeanmarcmorandini.com/\" rel=\"nofollow\">Application @morandiniblog</a>",1
"<a href=\"https://backbone.ma\" rel=\"nofollow\">backbone.ma</a>",1
"<a href=\"https://getreal360.com\" rel=\"nofollow\">GetReal360</a>",1
"<a href=\"https://ho.com\" rel=\"nofollow\">auto is the only way it can be </a>",1
"<a href=\"https://hopscotch.social/\" rel=\"nofollow\">Hopscotch Social</a>",1
"<a href=\"https://www.thryv.com/\" rel=\"nofollow\">Thryv</a>",1
"<a href=\"https://lightful.com\" rel=\"nofollow\">Lightful</a>",1
"<a href=\"https://seattlebrief.com\" rel=\"nofollow\">seattlebrief</a>",1
"<a href=\"https://shop.thelapdrop.com\" rel=\"nofollow\">The Lapdrop</a>",1
"<a href=\"https://biztoc.com/\" rel=\"nofollow\">BizToc.com News</a>",1
"<a href=\"http://www.ilmattino.it\" rel=\"nofollow\">IlMattinoSocial</a>",1
"<a href=\"https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels\" rel=\"nofollow\">EndPoliceBrutality</a>",1
"<a href=\"http://www.oneupapp.io\" rel=\"nofollow\">OneUp App</a>",1
"<a href=\"https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels\" rel=\"nofollow\">OTwikibot</a>",1
"<a href=\"https://www.worldeconomics.com\" rel=\"nofollow\">ShadowTweetWE</a>",1
"<a href=\"http://moqilmoqil.info\" rel=\"nofollow\">moqil moqil</a>",1
"<a href=\"https://homeinc.com\" rel=\"nofollow\">forRetweeting</a>",1
"<a href=\"http://www.DynamicTweets.com\" rel=\"nofollow\">Dynamic Tweets</a>",1
"<a href=\"https://en.antaranews.com\" rel=\"nofollow\">Antaranews English</a>",1
"<a href=\"http://sam-song.info\" rel=\"nofollow\">SAM Broadcaster Song Info</a>",1
"<a href=\"https://www.virgilio.it/notizie\" rel=\"nofollow\">VirgilioNotizie</a>",1
"<a href=\"https://twitter.com/pubhealth_watch\" rel=\"nofollow\">publichealthaggregator</a>",1
"<a href=\"https://rtweet.info\" rel=\"nofollow\">rstats2twitter</a>",1
"<a href=\"https://hikerstore.co.uk\" rel=\"nofollow\">isearch247</a>",1
"<a href=\"https://reinfovf.com\" rel=\"nofollow\">reinfovf</a>",1
"<a href=\"https://newsfilter.io\" rel=\"nofollow\">Newsfilter.io</a>",1
"<a href=\"http://www.europapress.es/euskadi\" rel=\"nofollow\">Twitter editor Euskadi</a>",1
"<a href=\"http://www.kaseyjohns.com/studiopost/\" rel=\"nofollow\">StudioPost</a>",1
"<a href=\"http://ghanaguardian.com\" rel=\"nofollow\">GhanaGuardian AutoPost</a>",1
"<a href=\"http://pavelnguyen.com\" rel=\"nofollow\">ContentPosting</a>",1
"<a href=\"http://itdimension.intoday.in\" rel=\"nofollow\"> IndiaTodayFLASH</a>",1
"<a href=\"https://stackoverflow.com\" rel=\"nofollow\">Julie Green</a>",1
"<a href=\"https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels\" rel=\"nofollow\">PublicaWeb_diariodeosorno</a>",1
"<a href=\"https://seolit.ru/\" rel=\"nofollow\">SEOLIT Publisher</a>",1
"<a href=\"https://larnakaonline.com.cy/\" rel=\"nofollow\">Larnakaonline</a>",1
"<a href=\"http://www.jawapos.com\" rel=\"nofollow\">Jawapos.com auto tweet</a>",1
"<a href=\"https://twitter.com/covidsewage\" rel=\"nofollow\">covidsewage</a>",1
"<a href=\"https://api.avayasmh.com\" rel=\"nofollow\">Avaya Social Connections</a>",1
"<a href=\"https://twitter.com/All100Senators\" rel=\"nofollow\">all100Senators</a>",1
"<a href=\"https://dash.metroworldnews.com/twitter\" rel=\"nofollow\">BotTwitterBrazil</a>",1
"<a href=\"https://noticiaalminuto.com\" rel=\"nofollow\">noticiaalminuto</a>",1
"<a href=\"https://www.mylibertynews.com\" rel=\"nofollow\">Myliberty News Website</a>",1
"<a href=\"https://varta1.com/\" rel=\"nofollow\">varta1</a>",1
"<a href=\"https://aiir.com\" rel=\"nofollow\">Aiir</a>",1
"<a href=\"https://twitter.com/zeitferne\" rel=\"nofollow\">Covid19at-Melder</a>",1
"<a href=\"https://www.grapevine6.com\" rel=\"nofollow\">Seismic LiveSocial</a>",1
"<a href=\"https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels\" rel=\"nofollow\">CovidCDMX</a>",1
"<a href=\"https://we-twitter-bot.herokuapp.com/\" rel=\"nofollow\">WePesaroBot</a>",1
"<a href=\"http://www.mondaq.com\" rel=\"nofollow\">mdq america</a>",1
"<a href=\"https://www.reforma.com\" rel=\"nofollow\">GR_Feed</a>",1
"<a href=\"https://www.youtube.com/channel/UC2QMay1Q--ytiOUHOKb26Ww\" rel=\"nofollow\">botty0.9</a>",1
"<a href=\"https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels\" rel=\"nofollow\">MLChem</a>",1
"<a href=\"http://www.tvnet.lv\" rel=\"nofollow\">TVNET Login</a>",1
"<a href=\"http://www.soft-data.com\" rel=\"nofollow\">SD-PushTwitter</a>",1
"<a href=\"http://www.ilgazzettino.it\" rel=\"nofollow\">IlGazzettinoSocial</a>",1
"<a href=\"https://ultimasnoticias.com.ve\" rel=\"nofollow\">WP Twitter UN</a>",1
"<a href=\"https://www.pna.gr/\" rel=\"nofollow\">perfect publisher</a>",1
"<a href=\"https://www.leadconnectorhq.com/\" rel=\"nofollow\">LeadConnector</a>",1
"<a href=\"https://twitter.com\" rel=\"nofollow\">Twitter for Advertisers</a>",1
"<a href=\"https://www.socialchamp.io\" rel=\"nofollow\">SocialChamp IO </a>",1
"<a href=\"https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels\" rel=\"nofollow\">E-Gon</a>",1
"<a href=\"https://www.ivoox.com\" rel=\"nofollow\">iVoox</a>",1
"<a href=\"https://app.cleverpush.com\" rel=\"nofollow\">CleverPush</a>",1
"<a href=\"https://www.rssground.com\" rel=\"nofollow\">RSS Ground</a>",1
"<a href=\"http://idw-online.de\" rel=\"nofollow\">idw</a>",1
"<a href=\"http://testapp.com/\" rel=\"nofollow\">TwitterAppStudy01</a>",1
"<a href=\"http://www.cdn.com.do/\" rel=\"nofollow\">CDN37</a>",1
"<a href=\"https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels\" rel=\"nofollow\">trackntracer</a>",1
"<a href=\"http://pardot.com\" rel=\"nofollow\">Pardot</a>",1
"<a href=\"https://www.clarabridge.com/\" rel=\"nofollow\">Qualtrics Social Connect</a>",1
"<a href=\"https://talkingpointsmemo.com/\" rel=\"nofollow\">WPT Pro App</a>",1
"<a href=\"https://maringapost.com.br\" rel=\"nofollow\">Maringá Post</a>",1
"<a href=\"https://scitechdaily.com\" rel=\"nofollow\">STWPtoTwitter</a>",1
"<a href=\"https://libyaupdate.com\" rel=\"nofollow\">The Libya Update</a>",1
"<a href=\"https://twitter.com/bookmedi_info\" rel=\"nofollow\">BookMedi_Info_App</a>",1
"<a href=\"http://www.diariocontraste.com\" rel=\"nofollow\">DiarioContraste</a>",1
"<a href=\"http://www.example.com/\" rel=\"nofollow\">Paul's twitter bot</a>",1
"<a href=\"http://www.bahiaja.com.br\" rel=\"nofollow\">Portal Bahia Já</a>",1
"<a href=\"http://lecronache.info\" rel=\"nofollow\">CronacheLucane</a>",1
